time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.Altitude,.Easting,.Northing,.Zone_nos,.Zone_let
2022/02/08/12:02:18.488635,1,0,0,,42.34039833333333,-71.09815,11.5,327161.7129925928,4689703.378838023,19.0,T
2022/02/08/12:02:19.492190,2,0,0,,42.34039833333333,-71.09815,11.5,327161.7129925928,4689703.378838023,19.0,T
2022/02/08/12:02:20.490668,3,0,0,,42.34039666666666,-71.09815333333333,11.1,327161.4338258756,4689703.200543137,19.0,T
2022/02/08/12:02:21.503631,4,0,0,,42.34039666666666,-71.09815333333333,11.1,327161.4338258756,4689703.200543137,19.0,T
2022/02/08/12:02:22.510278,5,0,0,,42.34039666666666,-71.09815333333333,11.1,327161.4338258756,4689703.200543137,19.0,T
2022/02/08/12:02:23.528298,6,0,0,,42.34039833333333,-71.09815333333333,10.9,327161.4383926266,4689703.385613962,19.0,T
2022/02/08/12:02:24.510665,7,0,0,,42.340401666666665,-71.09815333333333,10.5,327161.44752612896,4689703.755755607,19.0,T
2022/02/08/12:02:25.493841,8,0,0,,42.340405,-71.09815166666667,10.2,327161.5939596017,4689704.122509284,19.0,T
2022/02/08/12:02:26.508016,9,0,0,,42.340408333333336,-71.09814833333333,9.9,327161.8776930206,4689704.485874997,19.0,T
2022/02/08/12:02:27.489614,10,0,0,,42.34041166666667,-71.09814666666666,9.5,327162.024126456,4689704.852628681,19.0,T
2022/02/08/12:02:28.509501,11,0,0,,42.340415,-71.09814166666666,9.2,327162.4451597709,4689705.212606455,19.0,T
2022/02/08/12:02:29.490502,12,0,0,,42.34041833333333,-71.09813666666666,9.1,327162.8661930426,4689705.572584255,19.0,T
2022/02/08/12:02:30.509592,13,0,0,,42.340421666666664,-71.09813333333334,8.9,327163.1499263402,4689705.935950017,19.0,T
2022/02/08/12:02:31.487921,14,0,0,,42.340425,-71.09813,8.7,327163.4336596093,4689706.29931579,19.0,T
2022/02/08/12:02:32.493567,15,0,0,,42.340428333333335,-71.09812666666667,8.6,327163.71739284776,4689706.662681571,19.0,T
2022/02/08/12:02:33.507416,16,0,0,,42.34043166666667,-71.09812333333333,8.7,327164.00112606183,4689707.026047365,19.0,T
2022/02/08/12:02:34.505605,17,0,0,,42.340435,-71.09812666666667,9.0,327163.7356596314,4689707.4029648695,19.0,T
2022/02/08/12:02:35.504977,18,0,0,,42.34044,-71.09812666666667,9.3,327163.7493597206,4689707.95817734,19.0,T
2022/02/08/12:02:36.489212,19,0,0,,42.340445,-71.09812333333333,9.5,327164.03765957576,4689708.50661396,19.0,T
2022/02/08/12:02:37.504213,20,0,0,,42.34045,-71.09812,9.8,327164.3259593843,4689709.055050588,19.0,T
2022/02/08/12:02:38.518603,21,0,0,,42.340453333333336,-71.09811666666667,9.8,327164.6096924766,4689709.418416407,19.0,T
2022/02/08/12:02:39.503862,22,0,0,,42.34045833333333,-71.09811166666667,9.7,327165.03529206256,4689709.96346515,19.0,T
2022/02/08/12:02:40.485558,23,0,0,,42.34046333333333,-71.09810833333333,9.3,327165.32359174016,4689710.511901818,19.0,T
2022/02/08/12:02:41.485797,24,0,0,,42.340468333333334,-71.09810833333333,9.2,327165.3372917171,4689711.067114294,19.0,T
2022/02/08/12:02:42.506358,25,0,0,,42.340473333333335,-71.098105,9.2,327165.62559133396,4689711.615550973,19.0,T
2022/02/08/12:02:43.524322,26,0,0,,42.34047833333333,-71.0981,9.3,327166.05119071796,4689712.160599774,19.0,T
2022/02/08/12:02:44.489348,27,0,0,,42.34048333333333,-71.098095,9.3,327166.4767900358,4689712.705648601,19.0,T
2022/02/08/12:02:45.507412,28,0,0,,42.34048833333333,-71.09809166666666,9.0,327166.7650895018,4689713.254085323,19.0,T
2022/02/08/12:02:46.507241,29,0,0,,42.340491666666665,-71.09808833333334,8.8,327167.0488223099,4689713.617451232,19.0,T
2022/02/08/12:02:47.507015,30,0,0,,42.34049666666667,-71.09808333333334,8.7,327167.4744214695,4689714.162500116,19.0,T
2022/02/08/12:02:48.526330,31,0,0,,42.3405,-71.09808,8.5,327167.75815420423,4689714.525866051,19.0,T
2022/02/08/12:02:49.506406,32,0,0,,42.340505,-71.09807666666667,8.4,327168.0464535058,4689715.074302823,19.0,T
2022/02/08/12:02:50.488528,33,0,0,,42.34050833333333,-71.09807333333333,8.4,327168.33018617856,4689715.437668781,19.0,T
2022/02/08/12:02:51.489613,34,0,0,,42.340513333333334,-71.09806833333333,8.3,327168.7557851332,4689715.982717736,19.0,T
2022/02/08/12:02:52.489239,35,0,0,,42.340516666666666,-71.09806166666667,8.3,327169.3141171838,4689716.339308064,19.0,T
2022/02/08/12:02:53.508081,36,0,0,,42.34052,-71.09805666666666,8.4,327169.73514945834,4689716.69928625,19.0,T
2022/02/08/12:02:54.487593,37,0,0,,42.34052333333333,-71.09805166666666,8.4,327170.15618168976,4689717.0592644615,19.0,T
2022/02/08/12:02:55.488352,38,0,0,,42.340525,-71.09804666666666,8.4,327170.57264734816,4689717.234171873,19.0,T
2022/02/08/12:02:56.489664,39,0,0,,42.34052833333333,-71.09804333333334,8.3,327170.8563798061,4689717.597537926,19.0,T
2022/02/08/12:02:57.488850,40,0,0,,42.340531666666664,-71.09803666666667,8.3,327171.4147116167,4689717.954128415,19.0,T
2022/02/08/12:02:58.507169,41,0,0,,42.340535,-71.09803166666667,8.3,327171.8357436884,4689718.314106723,19.0,T
2022/02/08/12:02:59.489261,42,0,0,,42.340536666666665,-71.09802833333333,8.3,327172.11490954796,4689718.492402,19.0,T
2022/02/08/12:03:00.489627,43,0,0,,42.34054,-71.098025,8.3,327172.3986418748,4689718.855768113,19.0,T
2022/02/08/12:03:01.488882,44,0,0,,42.340543333333336,-71.09802166666667,8.3,327172.68237417727,4689719.219134238,19.0,T
2022/02/08/12:03:02.488386,45,0,0,,42.34054666666667,-71.09801833333333,8.2,327172.9661064471,4689719.582500373,19.0,T
2022/02/08/12:03:03.507765,46,0,0,,42.34055,-71.09801666666667,8.1,327173.11253904,4689719.94925427,19.0,T
2022/02/08/12:03:04.491643,47,0,0,,42.34055333333333,-71.09801333333333,8.0,327173.39627126214,4689720.312620421,19.0,T
2022/02/08/12:03:05.489402,48,0,0,,42.340556666666664,-71.09801166666666,8.0,327173.5427038178,4689720.679374328,19.0,T
2022/02/08/12:03:06.488672,49,0,0,,42.340559999999996,-71.09800833333334,8.0,327173.82643598807,4689721.042740496,19.0,T
2022/02/08/12:03:07.488461,50,0,0,,42.340561666666666,-71.09800666666666,8.0,327173.9683020647,4689721.224423584,19.0,T
2022/02/08/12:03:08.506854,51,0,0,,42.340563333333336,-71.09800166666666,7.9,327174.3847673768,4689721.399331211,19.0,T
2022/02/08/12:03:09.489287,52,0,0,,42.340565,-71.098,7.9,327174.5266334318,4689721.581014308,19.0,T
2022/02/08/12:03:10.489339,53,0,0,,42.34056666666667,-71.09799666666666,7.9,327174.8057990937,4689721.759309689,19.0,T
2022/02/08/12:03:11.506164,54,0,0,,42.34057,-71.09799333333333,7.9,327175.0895311587,4689722.122675904,19.0,T
2022/02/08/12:03:12.490350,55,0,0,,42.34057333333333,-71.09799166666667,7.9,327175.2359635915,4689722.489429845,19.0,T
2022/02/08/12:03:13.508316,56,0,0,,42.340575,-71.09798833333333,7.9,327175.5151292016,4689722.66772525,19.0,T
2022/02/08/12:03:14.490030,57,0,0,,42.340576666666664,-71.097985,7.9,327175.7942947931,4689722.846020665,19.0,T
2022/02/08/12:03:15.509897,58,0,0,,42.34058,-71.09798166666667,7.9,327176.07802676526,4689723.209386921,19.0,T
2022/02/08/12:03:16.510377,59,0,0,,42.340581666666665,-71.09798,7.9,327176.21989273955,4689723.391070051,19.0,T
2022/02/08/12:03:17.491163,60,0,0,,42.340585,-71.09797833333333,7.9,327176.36632509506,4689723.757824011,19.0,T
2022/02/08/12:03:18.509094,61,0,0,,42.34058666666667,-71.097975,8.0,327176.645490624,4689723.93611946,19.0,T
2022/02/08/12:03:19.509290,62,0,0,,42.34059,-71.09797166666667,8.0,327176.9292225106,4689724.299485745,19.0,T
2022/02/08/12:03:20.493712,63,0,0,,42.34059166666667,-71.09796833333333,8.0,327177.2083880036,4689724.477781217,19.0,T
2022/02/08/12:03:21.512324,64,0,0,,42.340595,-71.097965,8.1,327177.4921198401,4689724.841147523,19.0,T
2022/02/08/12:03:22.489652,65,0,0,,42.34059833333333,-71.09796166666666,8.2,327177.775851646,4689725.204513844,19.0,T
2022/02/08/12:03:23.507504,66,0,0,,42.3406,-71.09795666666666,8.2,327178.1923166225,4689725.379421689,19.0,T
2022/02/08/12:03:24.490599,67,0,0,,42.340603333333334,-71.09795333333334,8.3,327178.47604837315,4689725.742788034,19.0,T
2022/02/08/12:03:25.508676,68,0,0,,42.340606666666666,-71.09795,8.4,327178.75978009525,4689726.106154391,19.0,T
2022/02/08/12:03:26.505304,69,0,0,,42.340608333333336,-71.09794666666667,8.6,327179.0389454674,4689726.284449932,19.0,T
2022/02/08/12:03:27.490309,70,0,0,,42.34061,-71.09794333333333,8.7,327179.31811082934,4689726.462745482,19.0,T
2022/02/08/12:03:28.510088,71,0,0,,42.34061166666667,-71.09794166666667,8.9,327179.45997665706,4689726.644428675,19.0,T
2022/02/08/12:03:29.490459,72,0,0,,42.340615,-71.09793833333333,9.0,327179.7437082933,4689727.00779507,19.0,T
2022/02/08/12:03:30.508947,73,0,0,,42.34061666666667,-71.09793666666667,9.2,327179.8855740997,4689727.18947827,19.0,T
2022/02/08/12:03:31.491827,74,0,0,,42.34061833333333,-71.09793333333333,9.3,327180.164739402,4689727.367773853,19.0,T
2022/02/08/12:03:32.492435,75,0,0,,42.34062,-71.09793,9.4,327180.4439046898,4689727.546069448,19.0,T
2022/02/08/12:03:33.511943,76,0,0,,42.34062333333333,-71.09792666666667,9.6,327180.7276362402,4689727.90943588,19.0,T
2022/02/08/12:03:34.490514,77,0,0,,42.340625,-71.097925,9.8,327180.86950200365,4689728.091119099,19.0,T
2022/02/08/12:03:35.509884,78,0,0,,42.340626666666665,-71.09792166666666,10.0,327181.1486672447,4689728.269414722,19.0,T
2022/02/08/12:03:36.492639,79,0,0,,42.340628333333335,-71.09792,10.1,327181.2905329924,4689728.451097949,19.0,T
2022/02/08/12:03:37.510183,80,0,0,,42.340628333333335,-71.09791833333334,10.2,327181.42783246934,4689728.447710352,19.0,T
2022/02/08/12:03:38.515430,81,0,0,,42.34063,-71.09791666666666,10.3,327181.56969820615,4689728.629393585,19.0,T
2022/02/08/12:03:39.491847,82,0,0,,42.34063166666667,-71.097915,10.4,327181.71156393585,4689728.811076822,19.0,T
2022/02/08/12:03:40.511075,83,0,0,,42.34063333333334,-71.09791333333334,10.5,327181.85342965636,4689728.992760062,19.0,T
2022/02/08/12:03:41.495002,84,0,0,,42.340635,-71.09791166666666,10.6,327181.99529536976,4689729.174443302,19.0,T
2022/02/08/12:03:42.494349,85,0,0,,42.34063666666667,-71.09791,10.7,327182.1371610781,4689729.356126548,19.0,T
2022/02/08/12:03:43.499078,86,0,0,,42.34064,-71.09790833333334,10.7,327182.28359301575,4689729.722880621,19.0,T
2022/02/08/12:03:44.494461,87,0,0,,42.34064166666667,-71.09790666666666,10.8,327182.42545870633,4689729.90456387,19.0,T
2022/02/08/12:03:45.495281,88,0,0,,42.34064333333333,-71.097905,10.9,327182.5673243877,4689730.086247124,19.0,T
2022/02/08/12:03:46.494443,89,0,0,,42.34064333333333,-71.09790166666667,11.0,327182.84192328015,4689730.079471982,19.0,T
2022/02/08/12:03:47.494550,90,0,0,,42.34064333333333,-71.09789833333333,11.3,327183.11652217666,4689730.072696851,19.0,T
2022/02/08/12:03:48.499972,91,0,0,,42.34064333333333,-71.097895,11.5,327183.39112107106,4689730.06592173,19.0,T
2022/02/08/12:03:49.494597,92,0,0,,42.340645,-71.09789333333333,11.5,327183.53298672347,4689730.247605002,19.0,T
2022/02/08/12:03:50.492424,93,0,0,,42.340648333333334,-71.09789333333333,11.2,327183.54211913643,4689730.617746656,19.0,T
2022/02/08/12:03:51.492130,94,0,0,,42.34065,-71.09789166666667,10.9,327183.68398477463,4689730.799429931,19.0,T
2022/02/08/12:03:52.493328,95,0,0,,42.340655,-71.09789,10.5,327183.8349828054,4689731.351254863,19.0,T
2022/02/08/12:03:53.511969,96,0,0,,42.34065833333333,-71.09788833333333,10.1,327183.98141462106,4689731.71800897,19.0,T
2022/02/08/12:03:54.488811,97,0,0,,42.34066,-71.09788666666667,9.9,327184.1232802296,4689731.899692251,19.0,T
2022/02/08/12:03:55.489397,98,0,0,,42.34066333333333,-71.09788333333333,9.6,327184.4070114211,4689732.263058824,19.0,T
2022/02/08/12:03:56.490631,99,0,0,,42.340666666666664,-71.09788166666667,9.4,327184.553443191,4689732.629812942,19.0,T
2022/02/08/12:03:57.489824,100,0,0,,42.34066833333333,-71.09788166666667,9.2,327184.5580093739,4689732.814883771,19.0,T
2022/02/08/12:03:58.511137,101,0,0,,42.340671666666665,-71.09788,9.1,327184.7044411244,4689733.181637891,19.0,T
2022/02/08/12:03:59.489761,102,0,0,,42.340673333333335,-71.09787833333333,9.0,327184.8463066869,4689733.363321187,19.0,T
2022/02/08/12:04:00.490279,103,0,0,,42.340675,-71.09787666666666,8.9,327184.98817224,4689733.545004486,19.0,T
2022/02/08/12:04:01.489762,104,0,0,,42.34067666666667,-71.097875,8.7,327185.1300377882,4689733.726687787,19.0,T
2022/02/08/12:04:02.507065,105,0,0,,42.34067833333334,-71.09787333333334,8.6,327185.2719033251,4689733.908371092,19.0,T
2022/02/08/12:04:03.525862,106,0,0,,42.34067833333334,-71.09787333333334,8.5,327185.2719033251,4689733.908371092,19.0,T
2022/02/08/12:04:04.492062,107,0,0,,42.34068,-71.09787166666666,8.4,327185.413768859,4689734.090054397,19.0,T
2022/02/08/12:04:05.505856,108,0,0,,42.34068166666667,-71.09787,8.3,327185.5556343858,4689734.271737707,19.0,T
2022/02/08/12:04:06.505612,109,0,0,,42.34068166666667,-71.09786833333334,8.2,327185.69293374824,4689734.2683501905,19.0,T
2022/02/08/12:04:07.490324,110,0,0,,42.34068333333333,-71.09786833333334,8.1,327185.6974999033,4689734.453421017,19.0,T
2022/02/08/12:04:08.509037,111,0,0,,42.34068666666667,-71.09786666666666,8.1,327185.84393156564,4689734.8201751625,19.0,T
2022/02/08/12:04:09.506484,112,0,0,,42.34068666666667,-71.097865,8.0,327185.9812309192,4689734.816787652,19.0,T
2022/02/08/12:04:10.490594,113,0,0,,42.34068833333333,-71.09786333333334,7.9,327186.12309641537,4689734.99847097,19.0,T
2022/02/08/12:04:11.505864,114,0,0,,42.34069,-71.09786166666666,7.9,327186.26496190653,4689735.180154295,19.0,T
2022/02/08/12:04:12.491050,115,0,0,,42.340691666666665,-71.09786,7.8,327186.40682738833,4689735.36183762,19.0,T
2022/02/08/12:04:13.509777,116,0,0,,42.340695,-71.09785666666667,7.8,327186.69055833085,4689735.725204279,19.0,T
2022/02/08/12:04:14.490208,117,0,0,,42.340696666666666,-71.097855,7.7,327186.83242379344,4689735.906887613,19.0,T
2022/02/08/12:04:15.490867,118,0,0,,42.3407,-71.09785333333333,7.5,327186.9788553729,4689736.273641778,19.0,T
2022/02/08/12:04:16.509605,119,0,0,,42.34070333333333,-71.09785166666667,7.2,327187.1252869363,4689736.640395946,19.0,T
2022/02/08/12:04:17.508304,120,0,0,,42.34070666666667,-71.09785,7.1,327187.27171848784,4689737.007150116,19.0,T
2022/02/08/12:04:18.526938,121,0,0,,42.34070833333333,-71.09784666666667,6.9,327187.5508832156,4689737.185445978,19.0,T
2022/02/08/12:04:19.489695,122,0,0,,42.340711666666664,-71.097845,6.8,327187.69731473114,4689737.552200157,19.0,T
2022/02/08/12:04:20.490383,123,0,0,,42.34071333333333,-71.09784333333333,6.7,327187.8391801334,4689737.73388351,19.0,T
2022/02/08/12:04:21.506824,124,0,0,,42.340715,-71.09784,6.7,327188.118344818,4689737.912179395,19.0,T
2022/02/08/12:04:22.490412,125,0,0,,42.340716666666665,-71.09783833333333,6.6,327188.2602102003,4689738.093862755,19.0,T
2022/02/08/12:04:23.509024,126,0,0,,42.34072,-71.09783666666667,6.6,327188.4066416669,4689738.460616948,19.0,T
2022/02/08/12:04:24.490549,127,0,0,,42.34072166666667,-71.09783333333333,6.6,327188.6858063085,4689738.638912855,19.0,T
2022/02/08/12:04:25.490083,128,0,0,,42.34072333333334,-71.09783166666666,6.7,327188.8276716622,4689738.820596226,19.0,T
2022/02/08/12:04:26.489499,129,0,0,,42.340725,-71.09782833333334,6.6,327189.1068362765,4689738.998892147,19.0,T
2022/02/08/12:04:27.509927,130,0,0,,42.34072666666667,-71.097825,6.8,327189.3860008805,4689739.177188081,19.0,T
2022/02/08/12:04:28.528346,131,0,0,,42.34072666666667,-71.09782,7.0,327189.7978986745,4689739.167025756,19.0,T
2022/02/08/12:04:29.491038,132,0,0,,42.34072833333333,-71.09781666666666,7.2,327190.07706325105,4689739.345321715,19.0,T
2022/02/08/12:04:30.507264,133,0,0,,42.34073,-71.09781166666667,7.2,327190.4935270676,4689739.520230261,19.0,T
2022/02/08/12:04:31.510478,134,0,0,,42.34073166666667,-71.09781,7.4,327190.63539235864,4689739.70191367,19.0,T
2022/02/08/12:04:32.490494,135,0,0,,42.34073333333333,-71.09780666666667,7.5,327190.9145568919,4689739.880209661,19.0,T
2022/02/08/12:04:33.495475,136,0,0,,42.340735,-71.09780333333333,7.7,327191.19372141064,4689740.058505664,19.0,T
2022/02/08/12:04:34.491105,137,0,0,,42.340736666666665,-71.0978,7.8,327191.4728859129,4689740.236801676,19.0,T
2022/02/08/12:04:35.490369,138,0,0,,42.340738333333334,-71.09779666666667,7.9,327191.7520504049,4689740.415097701,19.0,T
2022/02/08/12:04:36.490326,139,0,0,,42.34074,-71.09779333333333,7.9,327192.03121487825,4689740.593393736,19.0,T
2022/02/08/12:04:37.491869,140,0,0,,42.340741666666666,-71.09779,8.0,327192.3103793393,4689740.771689782,19.0,T
2022/02/08/12:04:38.503070,141,0,0,,42.340741666666666,-71.09778666666666,8.2,327192.5849778034,4689740.764915009,19.0,T
2022/02/08/12:04:39.502573,142,0,0,,42.340743333333336,-71.09778333333334,8.5,327192.8641422406,4689740.943211076,19.0,T
2022/02/08/12:04:40.504129,143,0,0,,42.340745,-71.09778166666666,8.7,327193.0060074418,4689741.12489453,19.0,T
2022/02/08/12:04:41.497958,144,0,0,,42.34074666666667,-71.09777833333334,8.9,327193.2851718559,4689741.303190612,19.0,T
2022/02/08/12:04:42.501993,145,0,0,,42.34075,-71.097775,9.1,327193.56890221324,4689741.6665575355,19.0,T
2022/02/08/12:04:43.521266,146,0,0,,42.34075166666667,-71.09777333333334,9.3,327193.7107673802,4689741.848241001,19.0,T
2022/02/08/12:04:44.503017,147,0,0,,42.340755,-71.09777,9.4,327193.9944976947,4689742.211607941,19.0,T
2022/02/08/12:04:45.502373,148,0,0,,42.340756666666664,-71.09776666666667,9.4,327194.27366203844,4689742.389904062,19.0,T
2022/02/08/12:04:46.498017,149,0,0,,42.34075833333333,-71.09776333333333,9.4,327194.55282637186,4689742.568200193,19.0,T
2022/02/08/12:04:47.497411,150,0,0,,42.34076,-71.09776,9.4,327194.8319906888,4689742.746496337,19.0,T
